pattern_key	n_exact_terms	min_holm_p_global	max_term_phr_burden_a_T	nonzero_arm_counts	representative_terms	pattern_id
1,0,0,1,0,1,0,33,0,1,0,0,1,0,0,0,0,0,0,32,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0	1	6.20930923385177e-35	76	1p:1; 2q:1; 3q:1; 4q:33; 5q:1; 7p:1; 10q:32; 11p:1; 16q:1; 19p:1; 20q:1; Xp:1; Xq:1	GO_BP:direct:regulation of transcription by RNA polymerase II (GO:0006357)	P036
0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1	8.89581421874279e-28	67	4q:34; 10q:33	GO_BP:ancestor:regulation of cell population proliferation (GO:0042127)	P021
2,0,0,1,0,3,0,33,0,2,0,0,2,0,0,0,1,1,0,32,3,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,3,0,1,2,0,0,0,0,1,2,0,0	1	4.45952977685224e-22	94	1p:2; 2q:1; 3q:3; 4q:33; 5q:2; 7p:2; 9p:1; 9q:1; 10q:32; 11p:3; 12p:1; 15q:1; 16p:1; 16q:2; 19p:3; 20p:1; 20q:2; Xp:1; Xq:2	GO_BP:ancestor:regulation of RNA biosynthetic process (GO:2001141)	P035
2,0,0,2,0,3,0,0,0,2,0,0,2,0,0,0,1,2,0,0,3,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,3,0,1,2,0,0,0,0,0,1,0,0	1	1.17824848683991e-20	29	1p:2; 2q:2; 3q:3; 5q:2; 7p:2; 9p:1; 9q:2; 11p:3; 12p:1; 15q:1; 16p:1; 16q:2; 19p:3; 20p:1; 20q:2; Xq:1	GO_CC:ancestor:cell cortex (GO:0005938)	P041
0,1,0,1,0,0,0,34,0,1,0,0,0,0,0,0,0,1,1,33,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,2,3,0,0	1	1.14455534361657e-18	83	1q:1; 2q:1; 4q:34; 5q:1; 9q:1; 10p:1; 10q:33; 16q:1; 17q:1; 18p:1; 19q:1; 20p:1; 21q:1; Xp:2; Xq:3	Reactome:ancestor:Developmental Biology (R-HSA-1266738)	P066
1,0,0,0,0,2,0,34,0,1,0,0,1,0,0,0,1,1,0,33,2,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,1,2,0,0,0,0,1,2,0,0	1	1.33981989742451e-18	88	1p:1; 3q:2; 4q:34; 5q:1; 7p:1; 9p:1; 9q:1; 10q:33; 11p:2; 12p:1; 15q:1; 16p:1; 16q:1; 19p:2; 20p:1; 20q:2; Xp:1; Xq:2	GO_BP:ancestor:positive regulation of macromolecule metabolic process (GO:0010604)	P016
1,0,0,0,0,2,0,34,0,1,0,0,1,0,0,0,1,1,0,33,2,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,1,2,2,0,0,0,1,2,0,0	1	7.37669199511019e-17	90	1p:1; 3q:2; 4q:34; 5q:1; 7p:1; 9p:1; 9q:1; 10q:33; 11p:2; 12p:1; 15q:1; 16p:1; 16q:1; 19p:2; 20p:1; 20q:2; 21p:2; Xp:1; Xq:2	GO_BP:ancestor:positive regulation of metabolic process (GO:0009893)	P013
2,1,0,2,0,3,0,34,0,3,0,0,2,0,0,0,1,2,0,33,3,0,1,0,0,0,0,0,0,1,1,3,0,1,0,0,3,1,2,2,0,1,0,0,4,3,0,0	1	3.8757420109496e-14	109	1p:2; 1q:1; 2q:2; 3q:3; 4q:34; 5q:3; 7p:2; 9p:1; 9q:2; 10q:33; 11p:3; 12p:1; 15q:1; 16p:1; 16q:3; 17q:1; 19p:3; 19q:1; 20p:2; 20q:2; 21q:1; Xp:4; Xq:3	GO_CC:ancestor:nuclear lumen (GO:0031981)	P046
2,0,0,1,0,4,0,34,0,2,0,0,2,0,0,0,2,1,0,33,4,0,2,0,0,0,0,0,0,2,2,2,0,0,0,0,4,0,2,4,0,0,0,0,2,3,0,0	1	5.94122395227713e-14	108	1p:2; 2q:1; 3q:4; 4q:34; 5q:2; 7p:2; 9p:2; 9q:1; 10q:33; 11p:4; 12p:2; 15q:2; 16p:2; 16q:2; 19p:4; 20p:2; 20q:4; Xp:2; Xq:3	GO_BP:ancestor:regulation of primary metabolic process (GO:0080090)	P033
2,0,0,1,0,3,0,33,0,2,0,0,2,0,0,0,1,1,0,32,3,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,3,0,1,2,0,0,0,0,3,3,0,0	1	1.97366812618588e-13	97	1p:2; 2q:1; 3q:3; 4q:33; 5q:2; 7p:2; 9p:1; 9q:1; 10q:32; 11p:3; 12p:1; 15q:1; 16p:1; 16q:2; 19p:3; 20p:1; 20q:2; Xp:3; Xq:3	GO_CC:direct:nucleoplasm (GO:0005654)	P049
2,0,0,2,0,3,0,34,0,2,0,0,2,0,0,0,1,3,0,33,3,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,3,0,1,2,0,0,0,0,1,1,0,0	1	3.46837501106277e-12	98	1p:2; 2q:2; 3q:3; 4q:34; 5q:2; 7p:2; 9p:1; 9q:3; 10q:33; 11p:3; 12p:1; 15q:1; 16p:1; 16q:2; 19p:3; 20p:1; 20q:2; Xp:1; Xq:1	GO_CC:ancestor:endomembrane system (GO:0012505)	P042
0,0,0,0,0,1,0,34,0,0,0,0,0,0,0,0,1,1,0,33,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,2,2,0,0,0,1,1,0,0	1	7.94264481603173e-12	82	3q:1; 4q:34; 9p:1; 9q:1; 10q:33; 11p:1; 12p:1; 15q:1; 16p:1; 19p:1; 20p:1; 20q:2; 21p:2; Xp:1; Xq:1	GO_CC:ancestor:membrane (GO:0016020)	P043
2,0,0,1,0,4,0,34,0,2,0,0,2,0,0,0,2,1,0,33,5,0,2,0,0,0,0,0,0,2,2,2,0,0,0,0,4,0,3,4,0,0,0,0,1,3,0,0	1	3.17495759475768e-10	109	1p:2; 2q:1; 3q:4; 4q:34; 5q:2; 7p:2; 9p:2; 9q:1; 10q:33; 11p:5; 12p:2; 15q:2; 16p:2; 16q:2; 19p:4; 20p:3; 20q:4; Xp:1; Xq:3	GO_BP:ancestor:regulation of macromolecule metabolic process (GO:0060255)	P031
2,1,0,2,0,3,0,34,0,3,0,0,2,0,0,0,1,2,0,33,4,0,1,0,0,0,0,0,0,1,1,3,0,1,0,0,3,1,3,3,0,1,0,0,1,3,0,0	1	1.1917425588575e-09	109	1p:2; 1q:1; 2q:2; 3q:3; 4q:34; 5q:3; 7p:2; 9p:1; 9q:2; 10q:33; 11p:4; 12p:1; 15q:1; 16p:1; 16q:3; 17q:1; 19p:3; 19q:1; 20p:3; 20q:3; 21q:1; Xp:1; Xq:3	GO_BP:ancestor:negative regulation of biological process (GO:0048519)	P026
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0	1	1.27404039236313e-09	12	3q:1; 4q:1; 9p:1; 10q:1; 11p:1; 12p:1; 15q:1; 16p:1; 19p:1; 20p:1; 20q:1; Xq:1	GO_BP:ancestor:regulation of protein binding (GO:0043393)	P022
2,0,0,1,0,4,0,34,0,2,0,0,2,0,0,0,2,1,0,33,5,0,2,0,0,0,0,0,0,2,2,2,0,0,0,0,4,0,3,4,2,0,0,0,2,3,0,0	1	3.75126097020184e-09	112	1p:2; 2q:1; 3q:4; 4q:34; 5q:2; 7p:2; 9p:2; 9q:1; 10q:33; 11p:5; 12p:2; 15q:2; 16p:2; 16q:2; 19p:4; 20p:3; 20q:4; 21p:2; Xp:2; Xq:3	GO_BP:ancestor:regulation of metabolic process (GO:0019222)	P018
0,0,0,0,0,1,0,33,0,0,0,0,0,0,0,0,1,0,0,32,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,2,0,0,0,1,2,0,0	1	9.0162100041542e-09	79	3q:1; 4q:33; 9p:1; 10q:32; 11p:1; 12p:1; 15q:1; 16p:1; 19p:1; 20p:1; 20q:1; 21p:2; Xp:1; Xq:2	GO_CC:ancestor:organelle membrane (GO:0031090)	P044
