source_bed	filtered_bed	total_windows	kept_windows	excluded_centromere_windows
/moosefs/erikg/phrs/.wg-worktrees/agent-2837/paper_prep/_brainstorming/fig5_raw_manymany_impg_similarity_2kb_sharded/bed_shards/PAN027mat_vs_PAN010_joint/PAN027mat_vs_PAN010_joint.full_genome_2kb.shard_0039.bed	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_mappingfiltered_impg_similarity_2kb_topn_depthcapped_4to4/bed_shards_no_centromere/PAN027mat_vs_PAN010_joint/PAN027mat_vs_PAN010_joint.full_genome_2kb.shard_0039.bed	20000	16982	3018
/moosefs/erikg/phrs/.wg-worktrees/agent-2837/paper_prep/_brainstorming/fig5_raw_manymany_impg_similarity_2kb_sharded/bed_shards/PAN027mat_vs_PAN010_joint/PAN027mat_vs_PAN010_joint.full_genome_2kb.shard_0040.bed	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_mappingfiltered_impg_similarity_2kb_topn_depthcapped_4to4/bed_shards_no_centromere/PAN027mat_vs_PAN010_joint/PAN027mat_vs_PAN010_joint.full_genome_2kb.shard_0040.bed	20000	20000	0
/moosefs/erikg/phrs/.wg-worktrees/agent-2837/paper_prep/_brainstorming/fig5_raw_manymany_impg_similarity_2kb_sharded/bed_shards/PAN027mat_vs_PAN010_joint/PAN027mat_vs_PAN010_joint.full_genome_2kb.shard_0041.bed	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_mappingfiltered_impg_similarity_2kb_topn_depthcapped_4to4/bed_shards_no_centromere/PAN027mat_vs_PAN010_joint/PAN027mat_vs_PAN010_joint.full_genome_2kb.shard_0041.bed	20000	20000	0
/moosefs/erikg/phrs/.wg-worktrees/agent-2837/paper_prep/_brainstorming/fig5_raw_manymany_impg_similarity_2kb_sharded/bed_shards/PAN027mat_vs_PAN010_joint/PAN027mat_vs_PAN010_joint.full_genome_2kb.shard_0042.bed	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_mappingfiltered_impg_similarity_2kb_topn_depthcapped_4to4/bed_shards_no_centromere/PAN027mat_vs_PAN010_joint/PAN027mat_vs_PAN010_joint.full_genome_2kb.shard_0042.bed	20000	18038	1962
/moosefs/erikg/phrs/.wg-worktrees/agent-2837/paper_prep/_brainstorming/fig5_raw_manymany_impg_similarity_2kb_sharded/bed_shards/PAN027mat_vs_PAN010_joint/PAN027mat_vs_PAN010_joint.full_genome_2kb.shard_0043.bed	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_mappingfiltered_impg_similarity_2kb_topn_depthcapped_4to4/bed_shards_no_centromere/PAN027mat_vs_PAN010_joint/PAN027mat_vs_PAN010_joint.full_genome_2kb.shard_0043.bed	20000	20000	0
/moosefs/erikg/phrs/.wg-worktrees/agent-2837/paper_prep/_brainstorming/fig5_raw_manymany_impg_similarity_2kb_sharded/bed_shards/PAN027mat_vs_PAN010_joint/PAN027mat_vs_PAN010_joint.full_genome_2kb.shard_0044.bed	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_mappingfiltered_impg_similarity_2kb_topn_depthcapped_4to4/bed_shards_no_centromere/PAN027mat_vs_PAN010_joint/PAN027mat_vs_PAN010_joint.full_genome_2kb.shard_0044.bed	20000	20000	0
/moosefs/erikg/phrs/.wg-worktrees/agent-2837/paper_prep/_brainstorming/fig5_raw_manymany_impg_similarity_2kb_sharded/bed_shards/PAN027mat_vs_PAN010_joint/PAN027mat_vs_PAN010_joint.full_genome_2kb.shard_0045.bed	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_mappingfiltered_impg_similarity_2kb_topn_depthcapped_4to4/bed_shards_no_centromere/PAN027mat_vs_PAN010_joint/PAN027mat_vs_PAN010_joint.full_genome_2kb.shard_0045.bed	20000	20000	0
/moosefs/erikg/phrs/.wg-worktrees/agent-2837/paper_prep/_brainstorming/fig5_raw_manymany_impg_similarity_2kb_sharded/bed_shards/PAN027mat_vs_PAN010_joint/PAN027mat_vs_PAN010_joint.full_genome_2kb.shard_0046.bed	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_mappingfiltered_impg_similarity_2kb_topn_depthcapped_4to4/bed_shards_no_centromere/PAN027mat_vs_PAN010_joint/PAN027mat_vs_PAN010_joint.full_genome_2kb.shard_0046.bed	20000	17665	2335
/moosefs/erikg/phrs/.wg-worktrees/agent-2837/paper_prep/_brainstorming/fig5_raw_manymany_impg_similarity_2kb_sharded/bed_shards/PAN027mat_vs_PAN010_joint/PAN027mat_vs_PAN010_joint.full_genome_2kb.shard_0047.bed	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_mappingfiltered_impg_similarity_2kb_topn_depthcapped_4to4/bed_shards_no_centromere/PAN027mat_vs_PAN010_joint/PAN027mat_vs_PAN010_joint.full_genome_2kb.shard_0047.bed	20000	20000	0
/moosefs/erikg/phrs/.wg-worktrees/agent-2837/paper_prep/_brainstorming/fig5_raw_manymany_impg_similarity_2kb_sharded/bed_shards/PAN027mat_vs_PAN010_joint/PAN027mat_vs_PAN010_joint.full_genome_2kb.shard_0048.bed	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_mappingfiltered_impg_similarity_2kb_topn_depthcapped_4to4/bed_shards_no_centromere/PAN027mat_vs_PAN010_joint/PAN027mat_vs_PAN010_joint.full_genome_2kb.shard_0048.bed	20000	20000	0
